(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'https://www.youtube.com/watch?v=pXHeWjTyu8k')
(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'https://www.youtube.com/watch?v=3daO9STsfkk')
(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'http://www.youtube.com/watch?v=MBaAtU1E2cI')
(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'http://www.youtube.com/watch?v=3rafwNAAePY&list=PL91BBCCF65CE3D190')
(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'http://www.youtube.com/watch?v=7YxZ0CTE5Ks&list=PL91BBCCF65CE3D190')
(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'http://www.youtube.com/watch?v=NfIbgkZyL3M')
(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'http://www.youtube.com/watch?v=qOgpAdcOmEU')
(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'http://www.youtube.com/watch?v=9cL-N2HGFBU')
(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'http://www.youtube.com/watch?v=YuvbXR1Ow3o&feature=c4-overview-vl&list=PL9FD11BBD0B29F1B1')
(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'http://www.youtube.com/watch?v=RBLth7IWyxg')
(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'http://www.youtube.com/watch?v=2AHw-AkmNbQ')
(6025, 'ZZU99902_kuajung', '科際整合與大學教育(教材課程) - 陳冠榮', 'http://www.youtube.com/watch?v=Qn6zwVsEGGI')
(5791, 'AAJ01502_sweet', '藝術之多元呈現(教材課程) - 洪淑儀', 'http://gameapps.hk/index.php/online/5807-2014-09-04-14-58-25')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://drive.google.com/file/d/1jzrzLhjYxBBy9l-VHcu059TT7slLZyCs/preview')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://drive.google.com/file/d/1rMIubY9nHp9oGV3aJe_6JEO_Zkxjr9F9/preview')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://drive.google.com/file/d/1sQKJIvQu8m_edHKUzPEKEhD0EWZ-5XKm/preview')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://drive.google.com/file/d/1r2g6uEkKWHMJpwX9iovJxGhFrvIlRO63/preview')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://drive.google.com/file/d/1lJmI00wDRKNssxjPmMo8183bIt3KH8Q1/preview')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://drive.google.com/file/d/17xHkoJpgvN0XzUYrlKGo1mKS9-3Nn6Py/preview')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://drive.google.com/file/d/1IKciJYmeM355AvTDMH18Q0M2uXpEmiJ6/preview')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://drive.google.com/file/d/1a_eHcOpXbyrcsSiSrIcPIZSBo0EXZJ7n/preview')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://drive.google.com/file/d/1q3FylopvYJYst41_Vgo49Wdidc9rD_x4/preview')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://drive.google.com/file/d/18dhiWEvi73xpwcBjlJwPVSfbrk2ipGrI/preview')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://drive.google.com/file/d/1cZUTgNTi7v0MzoV0eNlV6HMDztIshaPy/preview')
